,FEN Board,Evaluation
0,rnbakabnr/9/1c5c1/p1p1p1p1p/9/2P6/P3P1P1P/1C5C1/9/RNBAKABNR b - - 1 1,0.38
1,rn1akabnr/9/1c2b2c1/p1p1p1p1p/9/2P6/P3P1P1P/1C5C1/9/RNBAKABNR w - - 2 2,0.51
2,rn1akabnr/9/1c2b2c1/p1p1p1p1p/9/2P6/P3P1P1P/3C3C1/9/RNBAKABNR b - - 3 2,0.55
3,rn1akabnr/9/1c2b2c1/p1p1p3p/6p2/2P6/P3P1P1P/3C3C1/9/RNBAKABNR w - - 4 3,0.44
4,rn1akabnr/9/1c2b2c1/p1p1p3p/6p2/2P6/P3P1P1P/2NC3C1/9/R1BAKABNR b - - 5 3,0.54
5,r2akabnr/9/1cn1b2c1/p1p1p3p/6p2/2P6/P3P1P1P/2NC3C1/9/R1BAKABNR w - - 6 4,0.53
6,r2akabnr/9/1cn1b2c1/p1p1p3p/6p2/2P6/P3P1P1P/2NC3C1/9/1RBAKABNR b - - 7 4,0.56
7,1r1akabnr/9/1cn1b2c1/p1p1p3p/6p2/2P6/P3P1P1P/2NC3C1/9/1RBAKABNR w - - 8 5,0.53
8,1r1akabnr/9/1cn1b2c1/p1p1p2Cp/6p2/2P6/P3P1P1P/2NC5/9/1RBAKABNR b - - 9 5,0.44
9,1r1akab1r/9/1cn1b1nc1/p1p1p2Cp/6p2/2P6/P3P1P1P/2NC5/9/1RBAKABNR w - - 10 6,0.33
10,1r1akab1r/9/1cn1b1nc1/p1C1p3p/6p2/2P6/P3P1P1P/2NC5/9/1RBAKABNR b - - 0 6,0.01
11,1r1akab2/8r/1cn1b1nc1/p1C1p3p/6p2/2P6/P3P1P1P/2NC5/9/1RBAKABNR w - - 1 7,0.01
12,1r1akab2/8r/1cn1b1nc1/p1C1p3p/6p2/2P6/P3P1P1P/2NC2N2/9/1RBAKAB1R b - - 2 7,0.01
13,1r1akab2/8r/1cn1b2c1/p1C1p3p/6pn1/2P6/P3P1P1P/2NC2N2/9/1RBAKAB1R w - - 3 8,0.1
14,1r1akab2/8r/1cn1b2c1/p1C1p3p/6pn1/2P6/P3P1P1P/2NCB1N2/9/1RBAKA2R b - - 4 8,0.24
15,1r1akab2/5r3/1cn1b2c1/p1C1p3p/6pn1/2P6/P3P1P1P/2NCB1N2/9/1RBAKA2R w - - 5 9,0.51
16,1r1akab2/5r3/1cn1b2c1/p1C1p3p/6pn1/2P3P2/P3P3P/2NCB1N2/9/1RBAKA2R b - - 6 9,0.39
17,1r1akab2/5r3/1cn1b2c1/p1C1p3p/7n1/2P3p2/P3P3P/2NCB1N2/9/1RBAKA2R w - - 0 10,0.39
18,1r1akab2/5r3/1cn1b2c1/p1C1p3p/7n1/2P3B2/P3P3P/2NC2N2/9/1RBAKA2R b - - 0 10,-0.04
19,1r1akab2/5r3/1cn1b2c1/p1C5p/4p2n1/2P3B2/P3P3P/2NC2N2/9/1RBAKA2R w - - 1 11,-0.16
20,1r1akab2/5r3/1cn1b2c1/pRC5p/4p2n1/2P3B2/P3P3P/2NC2N2/9/2BAKA2R b - - 2 11,-0.14
21,1r1akab2/9/1cn1b2c1/pRC2r2p/4p2n1/2P3B2/P3P3P/2NC2N2/9/2BAKA2R w - - 3 12,-0.18
22,1r1akab2/9/1cn1b2c1/pRC2r2p/4p2n1/2P3B2/P3P3P/2NC2N2/4A4/2BAK3R b - - 4 12,-0.19
23,1r1akab2/9/c1n1b2c1/pRC2r2p/4p2n1/2P3B2/P3P3P/2NC2N2/4A4/2BAK3R w - - 5 13,-0.1
24,1R1akab2/9/c1n1b2c1/p1C2r2p/4p2n1/2P3B2/P3P3P/2NC2N2/4A4/2BAK3R b - - 0 13,-0.12
25,1n1akab2/9/c3b2c1/p1C2r2p/4p2n1/2P3B2/P3P3P/2NC2N2/4A4/2BAK3R w - - 0 14,-0.05
26,1n1akab2/9/c3b2c1/p1C2r2p/4p2n1/1NP3B2/P3P3P/3C2N2/4A4/2BAK3R b - - 1 14,-0.59
27,1n1akab2/9/c3b2c1/p1C3r1p/4p2n1/1NP3B2/P3P3P/3C2N2/4A4/2BAK3R w - - 2 15,-0.71
28,1n1akab2/9/c3b2c1/p1C3r1p/4p2n1/1NP6/P3P3P/3CB1N2/4A4/2BAK3R b - - 3 15,-0.74
29,3akab2/3n5/c3b2c1/p1C3r1p/4p2n1/1NP6/P3P3P/3CB1N2/4A4/2BAK3R w - - 4 16,-0.19
30,2Cakab2/3n5/c3b2c1/p5r1p/4p2n1/1NP6/P3P3P/3CB1N2/4A4/2BAK3R b - - 5 16,-0.77
31,2C1kab2/3na4/c3b2c1/p5r1p/4p2n1/1NP6/P3P3P/3CB1N2/4A4/2BAK3R w - - 6 17,-0.68
32,C3kab2/3na4/c3b2c1/p5r1p/4p2n1/1NP6/P3P3P/3CB1N2/4A4/2BAK3R b - - 7 17,-1.15
33,C3kab2/4a4/cn2b2c1/p5r1p/4p2n1/1NP6/P3P3P/3CB1N2/4A4/2BAK3R w - - 8 18,-0.13
34,4kab2/C3a4/cn2b2c1/p5r1p/4p2n1/1NP6/P3P3P/3CB1N2/4A4/2BAK3R b - - 9 18,-0.11
35,4kab2/C3a4/cn2b1c2/p5r1p/4p2n1/1NP6/P3P3P/3CB1N2/4A4/2BAK3R w - - 10 19,0.0
36,4kab2/C3a4/cn2b1c2/p5r1p/4p2n1/1NP4N1/P3P3P/3CB4/4A4/2BAK3R b - - 11 19,-0.03
37,4kab2/C3a4/cn2b2c1/p5r1p/4p2n1/1NP4N1/P3P3P/3CB4/4A4/2BAK3R w - - 12 20,0.0
38,4kab2/C3a4/cn2b2c1/p5r1p/4p2n1/1NP6/P3P3P/3CB1N2/4A4/2BAK3R b - - 13 20,-0.0
39,4kab2/C3a4/cn2b2c1/pr6p/4p2n1/1NP6/P3P3P/3CB1N2/4A4/2BAK3R w - - 14 21,0.0
40,4kab2/C3a4/cn2b2c1/pr6p/4p2n1/2P6/P3P3P/2NCB1N2/4A4/2BAK3R b - - 15 21,-0.0
41,2n1kab2/C3a4/c3b2c1/pr6p/4p2n1/2P6/P3P3P/2NCB1N2/4A4/2BAK3R w - - 16 22,0.0
42,C1n1kab2/4a4/c3b2c1/pr6p/4p2n1/2P6/P3P3P/2NCB1N2/4A4/2BAK3R b - - 17 22,-0.0
